Product Name,Category,Quantity,Original Price (Rs.),Discount,Discounted Price (Rs.)
Maxx Pet Plastic Premium Container - Yellow,2310309-under-99,250 ml - (Set of 3),132.66,34% OFF,99.0
"Microwaveable Plastic Multiutility Bowl - Yellow, New Coral, L2273 YL",2310309-under-99,1.36 L,77.28,12% OFF,69.0
Click N Seal Canister Microwaveable Plastic Container - L5902-VL,2310309-under-99,650 ml,246.32999999999998,61% OFF,153.0
H2O Glass Water Bottle,2310310-rs-100-199,920 ml,234.36,24% OFF,189.0
"Storage Container - Assorted Colour, Plastic, Plain, Rectangular",2310310-rs-100-199,800 ml - (Set of 3),175.44,36% OFF,129.0
H2o Unbreakable Water Bottle - Orange,2310310-rs-100-199,1 L,195.19,31% OFF,149.0
H2O Glass Fridge Water Bottle - Blue,2310310-rs-100-199,1 pc,234.36,24% OFF,189.0
"Inox Hydra Plus Stainless-Steel Water Bottle - Food Grade, Leak Proof, Dishwasher Safe",2310310-rs-100-199,900 ml,318.4,60% OFF,199.0
Dynamic Leakproof Containers/Tiffin Boxes,2310310-rs-100-199,300 ml - (Set of 4),149.32999999999998,37% OFF,109.0
"Bread/Fruit/Biscuit/Food Storage Box - Multipurpose, Assorted Colour, 333",2310310-rs-100-199,4.6 l,186.26,34% OFF,139.0
"Storewell Airtight Container with Blue Lid - Transparent, Plastic, Plain, Rectangular",2310310-rs-100-199,1 L - (Pack of 6),336.49,61% OFF,209.0
"Microvent Containers - Plastic, 100% Food Grade, Violet",2310310-rs-100-199,4 pcs,284.57,43% OFF,199.0
Water Bottle H2O - Purple,2310310-rs-100-199,1 L,184.76,24% OFF,149.0
"Microwaveable Plastic Multiutility Bowl - Yellow, New Coral, L2272 YL",2310310-rs-100-199,4 x 750 ml - Multipack,151.98899999999998,45% OFF,104.82
Storage Container Multipurpose Transparent - Innova 999,2310310-rs-100-199,5 l,187.65,35% OFF,139.0
"Stainless Steel Egg Whisk/Beater/Cake Batter Whisker 25 Cm, Kitchen Essential",2310310-rs-100-199,1 pc,126.44,16% OFF,109.0
"Microvent Containers - Plastic, 100% Food Grade, 
Pink",2310310-rs-100-199,4 pcs,284.57,43% OFF,199.0
"Food Storage Container - Assorted Colour, Store King 1000, Multipurpose",2310310-rs-100-199,10 l,294.52,48% OFF,199.0
"Store Well Container - Mod Blue, Round, Plain, Plastic",2310310-rs-100-199,2.5 l,258.93,37% OFF,189.0
"Plastic Oil Dispenser - BPA Free, Dark Blue",2310310-rs-100-199,1 L - (Set of 2),209.44,76% OFF,119.0
"Dynamic Storage Plastic Container - Multipurpose, Airtight, Microwave Safe, Assorted",2310310-rs-100-199,600 ml - (Set of 3),179.31,39% OFF,129.0
"Stylo Storage Containers Set - Plastic, Brown, High Quality, Sturdy, BPA Free",2310310-rs-100-199,"3 pcs - (1 L, 2.5 L, 4.1 L)",194.6,40% OFF,139.0
"Microwaveable Plastic Multiutility Bowl - Pink, New Coral, L2272 PK",2310310-rs-100-199,4 x 750 ml - Multipack,151.98899999999998,45% OFF,104.82
H2O Unbreakable Water Bottle - Black,2310310-rs-100-199,1 L,200.34,26% OFF,159.0
"Spice Jar - Airtight, Black",2310310-rs-100-199,200 ml - (Set of 4),196.07999999999998,52% OFF,129.0
"Airtight Storage Container - Transparent, Plastic, Plain, Square",2310310-rs-100-199,1.2 L - (Pack of 3),206.39999999999998,60% OFF,129.0
Square Plastic Container Assorted,2310310-rs-100-199,1125 ml - (Set of 4),202.52999999999997,57% OFF,129.0
Aluminium Outer Lid Pressure Cooker,2308194-pressure-cookers,3 L,793.41,59% OFF,499.0
Aluminium Outer Lid Pressure Cooker,2308194-pressure-cookers,5 L,1025.42,58% OFF,649.0
Aluminium Outer Lid Pressure Cooker Combo,2308194-pressure-cookers,2 pcs - (2 L + 3 L),1142.57,43% OFF,799.0
"Classic Aluminium Inner Lid Pressure Cooker - Bakelite Handle, Silver, CL50",2308194-pressure-cookers,5 l,3169.49,₹51 OFF,2099.0
Svachh Aluminium Anti Bulge Gas & Induction Compatible Pressure Cooker - Silver,2308194-pressure-cookers,5 l,2471.35,15% OFF,2149.0
"Contura Hard Anodised Black Inner Lid Pressure Cooker - With Handle, CB50",2308194-pressure-cookers,5 l,2882.8125,25% OFF,2306.25
Stainless Steel Outer Lid Pressure Cooker - Induction Base,2308194-pressure-cookers,3.5 L,3866.31,19% OFF,3249.0
Aluminium Outer Lid Pressure Cooker Combo,2308194-pressure-cookers,2 pcs - (3 L + 2 L),1175.9299999999998,57% OFF,749.0
Stainless Steel Outer Lid Pressure Cooker - Induction Base,2308194-pressure-cookers,7 L,3931.29,21% OFF,3249.0
"Contura Hard Anodised Black Inner Lid Pressure Cooker - With Handle, CB35",2308194-pressure-cookers,3.5 l,2300.0,0% off,2300.0
Aluminium Outer Lid Pressure Cooker,2308194-pressure-cookers,5 L,1063.58,42% OFF,749.0
Stainless Steel Outer Lid Pressure Cooker - Induction Base,2308194-pressure-cookers,5.5 L,4214.0625,25% OFF,3371.25
Stainless Steel Inner Lid Pressure Cooker - Induction Base,2308194-pressure-cookers,5 L,3414.7799999999997,22% OFF,2799.0
"Popular Stainless Steel Outer Lid Pressure Cooker - Induction Base, 20651",2308194-pressure-cookers,3 L,2240.625,25% OFF,1792.5
"Contura Stainless Steel Inner Lid Pressure Cooker - Induction Base, Silver, SSC30",2308194-pressure-cookers,3 l,7527.49,₹151 OFF,2999.0
"Popular Stainless Steel Outer Lid Pressure Cooker - Induction Base, 20652",2308194-pressure-cookers,5 L,2998.8,20% OFF,2499.0
"Contura Aluminium Inner Lid Pressure Cooker - With Handle, Silver, HC65",2308194-pressure-cookers,6.5 l,4310.24,₹76 OFF,2449.0
Aluminium Outer Lid Pressure Cooker Combo,2308194-pressure-cookers,3 pcs - (2 L + 3 L + 5 L),2173.55,45% OFF,1499.0
Stainless Steel Outer Lid Pressure Cooker - Induction Base,2308194-pressure-cookers,3 L,1813.79,21% OFF,1499.0
Nakshatra Plus Svachh Hard Anodised Spillage Control Handi Pressure Cooker - Black,2308194-pressure-cookers,3 l,2272.48,12% OFF,2029.0
Svachh Aluminium Anti Bulge Gas & Induction Compatible Pan Pressure Cooker - Silver,2308194-pressure-cookers,3.5 l,2090.0,0% off,2090.0
Popular Svachh Stainless Steel Pressure Cooker,2308194-pressure-cookers,2 l,2093.28,12% OFF,1869.0
Popular Plus Svachh Virgin Aluminium Spillage Control Pressure Cooker - Silver,2308194-pressure-cookers,4 l,2014.88,12% OFF,1799.0
Popular Svachh Virgin Aluminium Spillage Control Pressure Cooker - Silver,2308194-pressure-cookers,4 l,1891.68,12% OFF,1689.0
Copier - A4 Paper (75 GSM),2310313-stationery,500 pcs,401.74,₹6 OFF,379.0
Octane Neon Gel Pen,2310313-stationery,5 pcs,50.0,0% off,50.0
Easy Copier - A4 Paper (70 GSM),2310313-stationery,500 pcs,357.54,₹1 OFF,354.0
"Notebook - King Size, Unruled",2310313-stationery,4x172 Pages - Multipack,192.0,,192.0
"Notebook - A4, Ruled, Single Line",2310313-stationery,4x240 Pages - Multipack,521.892,₹26 OFF,414.2
"Notebook - Ruled, Single Line, 272 mm x 167 mm, Long, 172 Pages",2310313-stationery,1 pc,60.18,2% OFF,59.0
621 Writing Pencils HB Superior Bonded Lead,2310313-stationery,10 pcs,50.0,0% off,50.0
"Gel - One Drop Instant Adhesive, For Glass, Leather, Wood, Ceramic & Plastic",2310313-stationery,3 x 3 g - Multipack,89.76,2% OFF,88.0
"Gel Pen - Blue, Octane, Blister Pack",2310313-stationery,5 pcs,50.0,0% off,50.0
"Phataphat Fast Curing Epoxy Compound - Sealant Adhesive, For Leakage, Bonding, Gap Filling & Repairing",2310313-stationery,25 g,10.0,0% off,10.0
"Notebook - Unruled, Long, 272 mm x 167 mm, 172 Pages",2310313-stationery,1 pc,45.0,0% off,45.0
"Brite Ball Pen - With Comfortable Grip, Smudge Free, Smooth To Write, Blue",2310313-stationery,5 pcs,34.41,11% OFF,31.0
Sketch Pens - Assorted Colour,2310313-stationery,12 pcs,35.0,0% off,35.0
"Navtal Ultra XL+ Padlock For Main Door - 4 Dimple Keys, Gate Lock, Tool Box, Shutters, Shops & Offices, Brass",2310313-stationery,1 pc,1717.0900000000001,₹91 OFF,899.0
Scissors - Personal,2310313-stationery,1 pc,68.44,16% OFF,59.0
"Safety Pin - Strong, Durable, Rust Proof, For Multipurpose Use",2310313-stationery,60 pcs,49.0,0% off,49.0
"Rubber Bands - Nylon, Assorted Colour, 3 cm",2310313-stationery,100 g,79.79,1% OFF,79.0
"045 Ball Pen - Lazer Tip Technology, For Smooth Writing, Black",2310313-stationery,10 pcs,99.0,₹10 OFF,90.0
"Drawing Book - Unruled, 40 Pages, 275 mm x 347 mm, 40 Pages",2310313-stationery,1 pc,50.0,0% off,50.0
"My Zipper Closure Bag/ Pouch - Transparent, 240 mm x 190 mm",2310313-stationery,1 pc,79.79,1% OFF,79.0
The Original 3x3 Colour Matching Puzzle - Classic Problem-Solving Cube,2310313-stationery,1 Pc,631.35,15% OFF,549.0
"Ball Pen - Blue, Octane, Blister Pack",2310313-stationery,5 pcs,50.0,0% off,50.0
"Rubber Bands - Nylon, Assorted Colour, 5 cm",2310313-stationery,100 g,79.79,1% OFF,79.0
Card Holder,2310313-stationery,1 pc,184.44,16% OFF,159.0
"Click N Seal Container - L5941-VL, Plastic, Square, Microwaveable",2310311-storage-solutions,260 ml,102.12,48% OFF,69.0
"Tenaz Round Bowl Set - Airtight Storage,For Kitchen Use, Coral Red",2310311-storage-solutions,250 ml - (Set of 4),112.97,43% OFF,79.0
"Tenaz Round Bowl Set - Airtight Storage,For Kitchen Use, Blue",2310311-storage-solutions,250 ml - (Set of 4),112.97,43% OFF,79.0
"Dynamic Storage Plastic Container - Multipurpose, Airtight, Microwave Safe, Assorted",2310311-storage-solutions,600 ml - (Set of 3),179.31,39% OFF,129.0
"Dryfruit/Pasta Plastic Storage Dabba/Containers Set Super Seal - BPA-Free, Green",2310311-storage-solutions,5 pcs,245.05,45% OFF,169.0
"Stylo Storage Containers Set - Plastic, Blue, High Quality, Sturdy, BPA Free",2310311-storage-solutions,"3 pcs - (1 L, 2.5 L, 4.1 L)",230.0,0% off,230.0
"Airtight Container Set - Pink, Plastic, Printed, Round",2310311-storage-solutions,3 pcs,435.69,41% OFF,309.0
"Pet Solitaire Storage Container Set - Silver, Plastic, Plain, Round",2310311-storage-solutions,12 pcs,597.78,62% OFF,369.0
"Glass  Lunch Box/Storage Borosilicate Container With Leak-Proof Lid - Rectangular, Green",2310311-storage-solutions,1.05 l,741.15,35% OFF,549.0
"Glass Lunch Box/Storage Borosilicate Container With Leak-Proof Lid - Rectangular, Blue",2310311-storage-solutions,1.05 l,741.15,35% OFF,549.0
"Glass Seal & Lock Lunch Box/Storage Borosilicate Container - Rectangular, Green",2310311-storage-solutions,1.05 l,653.69,31% OFF,499.0
"Glass Seal & Lock Lunch Box/Storage Borosilicate Container - Square, Green",2310311-storage-solutions,800 ml,530.6700000000001,33% OFF,399.0
"Glass Jar For Storage With See Through Lid - Borosilicate, Qube",2310311-storage-solutions,1 L - (Set of 2),506.73,27% OFF,399.0
"Glass Jar - With Blue Lid, Square, Pantry/Cookie/Snacks",2310311-storage-solutions,1.1 L - (Set of 2),293.82,18% OFF,249.0
Glass Bowl Set With Lids - Transparent,2310311-storage-solutions,435 ml - (Set of 2),202.8,20% OFF,169.0
"Glass Jar With Printed Lid - Easy To Clean, Leak Proof, Small",2310311-storage-solutions,200 ml - (Set of 4),157.07999999999998,32% OFF,119.0
Glass Jar Set With Blue Printed Lids - Small,2310311-storage-solutions,245 ml - (Set of 4),138.43,27% OFF,109.0
"Storewell Airtight Container - With Blue Lid, Transparent, Plastic, Plain, Rectangular",2310311-storage-solutions,1 L - (Set of 4),235.42,58% OFF,149.0
"Belly Puri Dabba/Container With Lid - Stainless Steel, Rust Proof, Durable",2310311-storage-solutions,3 pcs,511.86,14% OFF,449.0
"Oil Can/Dispenser Bottle - Stainless Steel, Durable & High Quality, Silver",2310311-storage-solutions,750 ml - (1 pc),544.44,56% OFF,349.0
"Ghee Pot - Stainless Steel, High-Quality, Durable, Silver",2310311-storage-solutions,300 ml - (1 pc),233.93,57% OFF,149.0
"Ghee Pot - Stainless Steel, High-Quality, Durable, Silver",2310311-storage-solutions,400 ml - (1 pc),302.4,60% OFF,189.0
"Spice Container/Masala Dabba - No.12, Stainless Steel",2310311-storage-solutions,1 pc,1198.5,50% OFF,799.0
Stainless Steel Tea Sugar Canister/Container Set - Durable & Rust Free,2310311-storage-solutions,2 pcs,336.63,47% OFF,229.0
Natural Grass Broom/Phool Jhadu - Natural Garo Hill Grass,2308196-cleaning-essential,1 pc,148.5,50% OFF,99.0
Premium Soft Grass Broom/Phool Jhadu - High Quality Silchar Grass,2308196-cleaning-essential,1 pc,233.73,47% OFF,159.0
Spin Mop 360 - With Extendable Handle/Stick Rod & 2 Microfiber Refills,2308196-cleaning-essential,1 Set,922.46,54% OFF,599.0
"Spin Mop - Plastic Bucket & Steel Wringer, With Rod, 9 L, Refill Included, Aqua Green",2308196-cleaning-essential,1 pc,2263.31,49% OFF,1519.0
"Jumper Spin Mop - Plastic, With Rod, 3.9 ft, Round & Flat Refills, Green",2308196-cleaning-essential,1 pc,3762.57,33% OFF,2829.0
"No Dust Broom Stick For Floor Cleaning - Home, Jhadu For Cleaning, With Washable Fibres, 90 cm",2308196-cleaning-essential,1 pc,205.64,₹6 OFF,194.0
Bathroom Scrubber Brush For Tile & Floor Cleaning,2308196-cleaning-essential,1 pc,154.0,₹10 OFF,140.0
"Bathroom Squeegee Wiper - Plastic, With Rod - Green",2308196-cleaning-essential,1 pc,442.89,11% OFF,399.0
"Stainless Steel Scourer/Scrubber - Used For Multipurpose Cleaning, H130024-1",2308196-cleaning-essential,15 g,27.740000000000002,46% OFF,19.0
"Dish Towels - Loire, 30 x 30 cm, Small",2308196-cleaning-essential,4 pcs,126.4,60% OFF,79.0
"Dish Towels - Cano, 30 x 30 cm, Small",2308196-cleaning-essential,4 Pcs,126.4,60% OFF,79.0
"Kitchen Dusters - Cube, 40 x 30 cm, Medium",2308196-cleaning-essential,4 Pcs,155.43,57% OFF,99.0
"Stainless Steel Scourer/Scrubber - Used For Multipurpose Cleaning, H130018",2308196-cleaning-essential,15 g - (Set of 3),90.86,54% OFF,59.0
"Spin Mop With Twin Bucket - Plastic & Microfibre, With Rod, 5.3 ft, Blue & White",2308196-cleaning-essential,1 pc,1756.24,16% OFF,1514.0
"Kingkong Grass Broom Made From Long Lasting Meghalaya Grass - 3.3 Feet, Colour May Vary",2308196-cleaning-essential,1 pc,235.0,0% off,235.0
"No Dust Broom Stick XL For Floor Cleaning, For Home, Jhadu For Home Cleaning, Made Of Washable Fibres, 3.2 Feet",2308196-cleaning-essential,1 pc,205.2,14% OFF,180.0
Patla - Chandra Soft,2308196-cleaning-essential,1 pc,90.0,0% off,90.0
"Floor Mop - High Quality, Sturdy Handle, Easy To Use",2308196-cleaning-essential,1 pc,240.0,0% off,240.0
"Super Pedal Bin - Valley Of Tulip, Brown, For Home & Office Use",2308196-cleaning-essential,11 L,282.51,29% OFF,219.0
"No-Dust Premium Broom, Long handle, Easy floor cleaning",2308196-cleaning-essential,1 pc,360.0,20% OFF,300.0
"Kitchen Napkins - Rhine, 60 x 40 cm, Large",2308196-cleaning-essential,3 Pcs,170.04000000000002,56% OFF,109.0
"Kitchen Towels - Terry, 60 x 40 cm, Large",2308196-cleaning-essential,2 Pcs,148.5,50% OFF,99.0
"Kitchen Towels - Terry, 60 x 40 cm, Large",2308196-cleaning-essential,2 Pcs,148.5,50% OFF,99.0
"Toilet Cleaning Brush - Plastic Handle, Nylon Bristles, Double Sided Hockey, Red",2308196-cleaning-essential,1 pc,192.20999999999998,29% OFF,149.0
